"international_id","helmet_brand","tape_color","pregame_music_genre","locker_room_role","training_pct","uses_tinted_visor","left_skate_first","brings_backup_stick","morning_skate_attended","hydration_pct","pass_drill_success_pct","0x676f6c64656e5f7469707073","video_review_completion_pct","extra_sticks_packed","warmup_laps","bus_seat_number","autographs_signed_week","skate_hollow_inches","avg_shoot_speed","shot_power_score","sleep_hours_before_game","stick_blade_curve_mm","travel_fatigue_score","recovery_balance_minutes","selection_probability"
"121","Bauer","black","electronic","mentor","37.894858","0","1","1","1","57.330000","44.470000","sierra","42.060000","5","4","11","3","0.683000","69.830000","35.800000","5.640000","16.800000","-2.620000","-70","0.905355"
"122","Bauer","white","rock","planner","45.430694","0","0","1","0","51.320000","68.560000","romeo","49.590000","5","3","16","2","0.701000","81.560000","","6.540000","9.490000","-3.300000","-65","0.891446"
"123","Sherwood","white","pop","quiet","37.730173","0","1","1","1","91.560000","72.150000","whiskey","31.710000","4","8","43","5","0.611000","79.080000","46.900000","8.590000","8.230000","-2.470000","-25","0.477721"
"124","CCM","white","metal","quiet","56.495399","1","1","1","1","66.960000","92.330000","delta","40.930000","5","2","25","4","0.843000","77.480000","44.980000","6.530000","4.440000","-0.450000","-137","0.397912"
"125","True","blue","hip hop","quiet","38.338801","1","1","1","0","99.130000","64.210000","whiskey","40.940000","5","2","12","2","0.688000","81.140000","49.370000","7.210000","14.790000","-2.010000","-47","0.981819"
"126","Warrior","black","metal","planner","21.002316","0","0","1","1","62.310000","53.960000","quebec","72.360000","5","6","31","4","0.964000","83.970000","52.760000","7.150000","12.540000","-8.180000","-128","0.738765"
"127","CCM","white","country","planner","40.193688","0","0","1","0","51.180000","84.060000","india","73.050000","0","7","7","7","0.560000","74.320000","41.180000","8.630000","7.730000","-5.510000","-46","0.390718"
"128","CCM","white","country","joker","62.932899","0","1","1","1","59.200000","85.920000","juliett","35.430000","5","8","2","1","0.859000","74.380000","41.260000","7.270000","16.460000","-2.530000","-12","0.688699"
"129","Warrior","black","country","hype","64.170732","0","1","1","1","53.400000","88.410000","foxtrot","29.710000","1","5","13","10","0.416000","78.370000","46.040000","7.430000","6.540000","-0.510000","-86","0.893314"
"130","CCM","white","rock","joker","73.707865","0","0","0","1","62.980000","38.970000","tango","79.460000","4","6","16","2","0.475000","71.040000","37.250000","7.000000","11.730000","-3.890000","-115","0.948226"
"131","CCM","black","pop","hype","","0","1","1","1","87.320000","56.800000","alpha","83.100000","3","4","11","3","0.832000","83.110000","51.730000","8.620000","4.050000","-2.850000","-147","0.282804"
"132","Bauer","white","hip hop","hype","48.755379","0","1","0","0","90.040000","54.030000","victor","38.640000","0","5","19","3","0.908000","87.800000","57.360000","7.190000","6.300000","-1.110000","-45","0.925738"
"133","True","white","metal","quiet","46.018982","0","1","1","1","82.480000","56.520000","sierra","32.690000","5","6","30","5","0.760000","82.560000","51.070000","7.850000","15.160000","-1.850000","-152","0.731006"
"134","CCM","black","metal","joker","31.113081","1","1","1","1","88.390000","47.860000","zulu","15.920000","0","3","29","2","0.629000","82.590000","51.110000","6.920000","9.960000","-2.600000","-34","0.242716"
"135","Bauer","black","rock","planner","28.117607","0","1","1","1","69.600000","37.820000","charlie","66.120000","0","7","47","3","0.456000","79.440000","47.330000","6.940000","15.960000","-3.690000","-162","0.894581"
"136","Warrior","white","electronic","quiet","57.444409","0","1","1","1","56.160000","66.920000","golf","61.910000","4","7","33","10","0.879000","72.280000","38.740000","6.700000","15.700000","-4.490000","-70","0.535252"
"137","Bauer","black","hip hop","planner","27.532949","0","0","1","1","63.790000","64.260000","mike","51.980000","2","7","21","2","0.931000","78.120000","45.740000","5.960000","13.410000","-3.490000","-108","0.165941"
"138","Sherwood","white","metal","hype","35.945524","0","0","1","1","79.310000","82.550000","quebec","85.920000","3","2","23","5","0.910000","79.010000","46.810000","5.680000","6.800000","-3.580000","-39","0.729855"
"139","Warrior","white","rock","quiet","43.318212","0","0","1","1","95.890000","80.880000","zulu","74.670000","4","4","49","5","0.686000","88.540000","","8.390000","8.410000","-4.270000","-173","0.376971"
"140","Warrior","blue","hip hop","joker","44.823405","0","1","1","1","55.890000","69.900000","india","30.040000","1","3","40","7","0.517000","92.710000","","8.640000","14.120000","-0.340000","-41","0.390520"
"141","Bauer","black","metal","planner","","0","0","0","0","81.170000","83.010000","zulu","71.010000","2","8","33","4","0.411000","68.440000","34.130000","8.670000","11.620000","-0.280000","-165","0.950702"
"142","CCM","red","pop","hype","62.076661","1","1","1","0","96.870000","85.040000","golf","89.530000","4","1","41","2","0.432000","83.220000","51.860000","6.060000","8.170000","-4.410000","-35","0.496042"
