,num__training_pct,num__goals,num__school_grade,num__number_of_previous_teams,num__avg_shoot_speed,num__pass_completion_rate,num__power_play_goals,num__jersey_number,num__years_played,cat__golden_tipps_alpha,cat__golden_tipps_bravo,cat__golden_tipps_charlie,cat__golden_tipps_delta,cat__golden_tipps_echo,cat__golden_tipps_foxtrot,cat__golden_tipps_golf,cat__golden_tipps_hotel,cat__golden_tipps_india,cat__golden_tipps_juliett,cat__golden_tipps_kilo,cat__golden_tipps_lima,cat__golden_tipps_mike,cat__golden_tipps_november,cat__golden_tipps_oscar,cat__golden_tipps_papa,cat__golden_tipps_quebec,cat__golden_tipps_romeo,cat__golden_tipps_sierra,cat__golden_tipps_tango,cat__golden_tipps_uniform,cat__golden_tipps_victor,cat__golden_tipps_whiskey,cat__golden_tipps_xray,cat__golden_tipps_yankee,cat__golden_tipps_zulu,cat__experience_level_legend,cat__experience_level_missing,cat__experience_level_rookie,cat__experience_level_sophomore,cat__experience_level_veteran,cat__fitness_level_Average,cat__fitness_level_Elite,cat__fitness_level_Excellent,cat__fitness_level_Good,cat__fitness_level_Poor,cat__fitness_level_missing,bool__won_championship,bool__captain
8494,-0.5748357714062335,-0.515965680738362,-0.7266282923129005,0.9772632866895306,0.633451839092701,-0.12177979207797017,0.28594917890953425,-0.8842641844771345,1.5716057294275532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8193,0.5329898167146673,3.588069804238989,0.9237024532224034,1.2267720086374543,-1.428528862660921,1.5039093803001142,3.042596806513495,-1.0120434098630864,0.5079581819109146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2521,1.2020964637219713,-0.14893811704120055,-0.8116968874435864,1.2267720086374543,1.5025630350865495,0.3262368910619827,0.20112925190633543,-1.0120434098630864,-0.023865591847404694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3803,-1.0658697523820544,-1.0164578130526731,-0.029065812241277175,-1.2683152108417834,0.5255324025040607,0.7542080850234146,-0.8591198356336495,1.9907683867067862,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9226,-0.02205711530922192,0.5183847260445476,-1.3731496153061127,0.7277545647416067,0.9442598164679844,-0.10724681242354221,0.4131790694143324,0.29769365034292183,0.7738700687900743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4730,-0.3398728084825617,-0.8829932444355235,-1.2540535821231524,-0.7692977669459359,0.16292309556622794,-2.0752127125248796,-0.010920565601661556,-0.9800986035165985,1.0397819556692338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3202,-0.7752064339602066,-0.2490365435040628,-1.288081020175427,-1.0188064888938597,1.7068905016943752,-1.2799079293670432,0.28594917890953425,-0.9800986035165985,-1.0875131393640431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8648,-1.016786247912674,0.9187784318959965,-0.9137792016004094,-0.7692977669459359,0.09961035943422598,-0.6850580379944212,0.7100488139255282,1.8629891613208343,-1.3534250262432028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
440,0.5829814361785336,-1.0164578130526731,2.1827176611565533,1.2267720086374543,-1.12923229185509,-0.11877296870119185,-0.2653803466112579,-1.0439882162095746,1.3056938425483935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9332,-0.8281749531504974,0.7853138632788468,-1.1179438299140552,-1.2683152108417834,-2.7537795439694226,-1.564553875702047,0.4979989964175312,1.256037840737562,-1.6193369131223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9239,0.9814730749424396,-0.2824026856583502,0.5664143536735231,-1.5178239327897072,-0.32055598035088034,0.47106555037679976,-0.39261023711605614,-0.4050920892798143,-0.8216012524848836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5669,0.6479378779197735,-0.5493318228926495,-0.7266282923129005,0.7277545647416067,0.6866920944764288,0.4094256711528463,-0.05333052910326095,1.160203421698098,0.7738700687900743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
